MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,HomeAge,HasRemodAdd,GenQual,HasProxArtery,HasProxFeedr,HasProxRRNn,HasProxRRAn,HasProxPosN,HasProxPosA,HasProxRRNe,HasProxRRAe
RL,8450,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Gd,TA,No,GLQ,706,Unf,0,150,GasA,5,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,8,0,NoFireplace,Attchd,RFn,2,TA,TA,Y,0,61,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,208500,20,0,112,0,0,0,0,0,0,0,0
RL,9600,Pave,NoAlley,Reg,Lvl,AllPub,FR2,Gtl,Veenker,1Fam,1Story,8,Gable,CompShg,MetalSd,MetalSd,3,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,GasA,5,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,8,1,TA,Attchd,RFn,2,TA,TA,Y,298,0,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,181500,47,0,54,0,1,0,0,0,0,0,0
RL,11250,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,GasA,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,8,1,TA,Attchd,RFn,2,TA,TA,Y,0,42,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,223500,22,1,112,0,0,0,0,0,0,0,0
RL,9550,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,1Fam,2Story,5,Gable,CompShg,Wd Sdng,Wd Shng,3,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,GasA,4,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,8,1,Gd,Detchd,Unf,3,TA,TA,Y,0,35,272,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Abnorml,140000,108,1,84,0,0,0,0,0,0,0,0
RL,14260,Pave,NoAlley,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,GasA,5,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,8,1,TA,Attchd,RFn,3,TA,TA,Y,192,84,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,250000,23,0,128,0,0,0,0,0,0,0,0
RL,14115,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,1Fam,1.5Fin,5,Gable,CompShg,VinylSd,VinylSd,3,Wood,Gd,TA,No,GLQ,732,Unf,0,64,GasA,5,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,8,0,NoFireplace,Attchd,Unf,2,TA,TA,Y,40,30,0,320,0,0,NoPool,MnPrv,Shed,700,WD,Normal,143000,30,1,45,0,0,0,0,0,0,0,0
RL,10084,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,GasA,5,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,8,1,Gd,Attchd,RFn,2,TA,TA,Y,255,57,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,307000,19,1,128,0,0,0,0,0,0,0,0
RL,10382,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,1Fam,2Story,6,Gable,CompShg,HdBoard,HdBoard,3,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,GasA,5,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,8,2,TA,Attchd,RFn,2,TA,TA,Y,235,204,228,0,0,0,NoPool,NoFence,Shed,350,WD,Normal,200000,50,0,63,0,0,0,0,1,0,0,0
RM,6120,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1Fam,1.5Fin,5,Gable,CompShg,BrkFace,Wd Shng,3,BrkTil,TA,TA,No,Unf,0,Unf,0,952,GasA,4,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,7,2,TA,Detchd,Unf,2,Fa,TA,Y,90,0,205,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Abnorml,129900,92,1,63,1,0,0,0,0,0,0,0
RL,7420,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,2fmCon,1.5Unf,6,Gable,CompShg,MetalSd,MetalSd,3,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,GasA,5,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,8,2,TA,Attchd,RFn,1,Gd,TA,Y,0,4,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,118000,84,1,45,1,0,0,0,0,0,0,0
RL,11200,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5,Hip,CompShg,HdBoard,HdBoard,3,CBlock,TA,TA,No,Rec,906,Unf,0,134,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,8,0,NoFireplace,Detchd,Unf,1,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,129500,58,0,45,0,0,0,0,0,0,0,0
RL,11924,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,2Story,5,Hip,CompShg,WdShing,Wd Shng,3,PConc,Ex,TA,No,GLQ,998,Unf,0,177,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,8,2,Gd,BuiltIn,Fin,3,TA,TA,Y,147,21,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,New,Partial,345000,18,1,225,0,0,0,0,0,0,0,0
RL,12968,Pave,NoAlley,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,6,Hip,CompShg,HdBoard,Plywood,3,CBlock,TA,TA,No,ALQ,737,Unf,0,175,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,8,0,NoFireplace,Detchd,Unf,1,TA,TA,Y,140,0,0,0,176,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,144000,61,0,45,0,0,0,0,0,0,0,0
RL,10652,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,8,1,Gd,Attchd,RFn,3,TA,TA,Y,160,33,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,New,Partial,279500,17,1,112,0,0,0,0,0,0,0,0
RL,10920,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1Fam,1Story,5,Hip,CompShg,MetalSd,MetalSd,3,CBlock,TA,TA,No,BLQ,733,Unf,0,520,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,8,1,Fa,Attchd,RFn,1,TA,TA,Y,0,213,176,0,0,0,NoPool,GdWo,NoMiscFeature,0,WD,Normal,157000,63,0,54,0,0,0,0,0,0,0,0
